Gene,Xobs
YDR166C,0.022796
YDR167W,0.675942
YDR168W,0.457919
YDR169C,0.046117
YDR170C,0.371622
YDR171W,0.456383
YDR172W,1.470013
YDR173C,0.031973
YDR174W,1.163098
YDR175C,0.164987
YDR176W,0.072193
YDR177W,1.604851
YDR178W,0.726589
YDR179C,0.041401
YDR179WA,0.026835
YDR180W,0.055595
YDR181C,0.065097
YDR182W,0.420543
YDR183W,0.078476
YDR184C,0.151036
YDR185C,0.011484
YDR186C,0.033484
YDR188W,1.762088
YDR189W,0.272194
YDR190C,1.326689
YDR191W,0.030976
YDR192C,0.120493
YDR194C,0.262505
YDR195W,0.04466
YDR196C,0.274403
YDR197W,0.027983
YDR198C,0.062946
YDR200C,0.019359
YDR201W,0.167582
YDR202C,0.063565
YDR204W,0.119601
YDR205W,0.059809
YDR206W,0.054646
YDR207C,0.044905
YDR208W,0.058583
YDR210W,3.749391
YDR211W,0.373607
YDR212W,0.757743
YDR213W,0.013439
YDR214W,0.76711
YDR216W,0.008275
YDR217C,0.00864
YDR218C,0.012336
YDR219C,0.025197
YDR221W,0.045215
YDR222W,0.03902
YDR223W,0.002887
YDR224C,4.507221
YDR225W,8.070406
YDR226W,7.386768
YDR227W,0.046479
YDR228C,0.08419
YDR229W,0.157324
YDR231C,0.117548
YDR232W,0.433512
YDR233C,5.297758
YDR234W,0.784223
YDR235W,0.03262
YDR236C,0.107962
YDR237W,0.279318
YDR238C,0.719977
YDR239C,0.117292
YDR240C,0.018821
YDR242W,0.013987
YDR243C,0.058213
YDR244W,0.031807
YDR245W,0.751997
YDR246W,0.280739
YDR247W,0.01735
YDR248C,0.184276
YDR249C,0.031927
YDR251W,0.235511
YDR252W,0.019614
YDR253C,0.022469
YDR254W,0.009456
YDR255C,0.025068
YDR256C,0.00442
YDR257C,0.054262
YDR258C,0.231158
YDR259C,0.061489
YDR260C,0.084894
YDR261C,0.267209
YDR262W,0.126928
YDR263C,0.018999
YDR264C,0.34837
YDR265W,0.087415
YDR266C,0.135334
YDR267C,0.29407
YDR268W,0.079384
YDR270W,0.054284
YDR272W,0.580315
YDR273W,0.021403
YDR275W,0.043764
YDR276C,5.322459
YDR277C,0.012167
YDR279W,0.032626
YDR280W,0.300546
YDR281C,0.083145
YDR282C,0.069048
YDR283C,0.027021
YDR284C,0.393504
YDR285W,0.026658
YDR286C,0.125724
YDR287W,0.124576
YDR288W,0.043592
YDR289C,0.054958
YDR291W,0.052193
YDR292C,0.341005
YDR293C,0.145512
YDR294C,0.520822
YDR295C,0.012516
YDR296W,0.4101
YDR297W,1.300675
YDR298C,0.635787
YDR299W,0.178497
YDR300C,0.379276
YDR301W,0.043091
YDR302W,0.386144
YDR303C,0.042982
YDR304C,1.978158
YDR305C,0.111919
YDR306C,0.069941
YDR307W,0.146376
YDR308C,0.300769
YDR309C,0.327736
YDR310C,0.043721
YDR311W,0.075123
YDR312W,0.103689
YDR313C,0.013041
YDR314C,0.008928
YDR315C,0.032583
YDR316W,0.049386
YDR317W,0.02736
YDR318W,0.038383
YDR319C,0.048866
YDR320C,0.043504
YDR321W,1.018069
YDR322W,0.321802
YDR323C,0.033016
YDR324C,0.388582
YDR325W,0.074673
YDR326C,0.07046
YDR328C,2.856577
YDR329C,0.182205
YDR330W,0.0285
YDR331W,0.096574
YDR332W,0.004534
YDR333C,0.082783
YDR334W,0.069413
YDR335W,0.176263
YDR336W,0.042
YDR337W,0.183925
YDR338C,0.061892
YDR339C,0.74183
YDR341C,2.900692
YDR342C,2.309116
YDR343C,2.408762
YDR345C,3.051983
YDR346C,0.50262
YDR347W,0.326604
YDR348C,0.150832
YDR349C,0.163357
YDR350C,0.020979
YDR351W,0.027361
YDR352W,0.179309
YDR353W,4.818598
YDR354W,0.316678
YDR356W,0.007889
YDR357C,0.306956
YDR358W,0.089116
YDR359C,0.013984
YDR361C,0.40978
YDR362C,0.056595
YDR363W,0.017312
YDR364C,0.055185
YDR365C,0.306581
YDR366C,0.050588
YDR367W,0.177794
YDR368W,0.867286
YDR369C,0.011572
YDR370C,0.059942
YDR371W,0.023558
YDR372C,0.177355
YDR373W,0.371972
YDR374C,0.012146
YDR375C,0.04338
YDR376W,0.032806
YDR377W,0.374309
YDR378C,0.406396
YDR379W,0.021065
YDR380W,0.390418
YDR381W,0.884181
YDR382W,22.41564
YDR383C,0.037807
YDR384C,0.678165
YDR385W,13.109861
YDR386W,0.015205
YDR387C,0.025186
YDR388W,1.745567
YDR389W,0.054719
YDR390C,0.197673
YDR391C,0.203439
YDR392W,0.14259
YDR393W,0.076722
YDR394W,0.435716
YDR395W,0.354566
YDR397C,0.38847
YDR398W,0.712887
YDR399W,1.332702
YDR400W,0.115597
YDR402C,0.02121
YDR403W,0.007399
YDR404C,0.445106
YDR405W,0.069917
YDR406W,0.020531
YDR407C,0.033173
YDR408C,0.481794
YDR409W,0.021589
YDR410C,0.285465
YDR411C,0.349226
YDR412W,0.257762
YDR414C,0.036021
YDR415C,0.165296
YDR416W,0.046699
YDR418W,5.001888
YDR419W,0.025068
YDR420W,0.032226
YDR421W,0.011287
YDR422C,0.028989
YDR423C,0.123285
YDR424C,1.115004
YDR425W,0.019753
YDR427W,0.772197
YDR428C,0.130832
YDR429C,2.721653
YDR430C,0.047297
YDR432W,0.904081
YDR434W,0.329709
YDR435C,0.070179
YDR436W,0.011122
YDR437W,0.044371
YDR438W,0.003078
YDR439W,0.01516
YDR440W,0.017172
YDR441C,0.163438
YDR443C,0.009628
YDR444W,0.028171
YDR446W,0.023017
YDR447C,9.497187
YDR448W,0.121413
YDR449C,0.186917
YDR450W,10.481391
YDR451C,0.049362
YDR452W,0.453303
YDR453C,0.074081
YDR454C,3.057397
YDR456W,0.120854
YDR457W,0.078262
YDR458C,0.055557
YDR459C,0.022545
YDR460W,0.105549
YDR461W,0.837592
YDR462W,0.290866
YDR463W,0.310261
YDR464W,0.181572
YDR465C,0.834672
YDR466W,0.058708
YDR468C,0.224574
YDR469W,0.107341
YDR470C,0.03685
YDR471W,4.752072
YDR472W,0.226492
YDR473C,0.085402
YDR475C,0.008169
YDR476C,0.31808
YDR477W,0.241203
YDR478W,0.135892
YDR479C,0.081032
YDR480W,0.02944
YDR481C,0.620766
YDR482C,0.14403
